income_code,age_range,gender,ethnicity,education,population
J,45_54,male,asian,Some College,11051
G,18_24,female,asian,< Than HS Diploma,686
J,65_74,male,black,HS Diploma,1606
L,25_34,male,hispanic,Some College,36467
G,25_34,female,black,Graduate Degree,35902
J,45_54,female,white,< Than HS Diploma,12195
H,75_84,male,hispanic,Graduate Degree,1540
I,35_44,female,asian,Some College,12155
L,35_44,male,black,HS Diploma,2809
C,55_64,male,white,Some College,165249
K,25_34,male,white,Graduate Degree,185757
H,45_54,male,black,HS Diploma,31409
I,25_34,female,asian,Bachelor Degree,48895
H,75_84,male,asian,< Than HS Diploma,1089
I,25_34,male,black,Some College,20687
J,25_34,male,islander,< Than HS Diploma,35
A,75_84,female,black,Bachelor Degree,15136
J,55_64,female,hispanic,HS Diploma,23014
G,35_44,female,black,Bachelor Degree,56927
A,65_74,female,islander,Some College,70
B,35_44,male,white,Bachelor Degree,69078
B,55_64,female,black,HS Diploma,191110
B,75_84,male,hispanic,Some College,3467
A,75_84,male,hispanic,Graduate Degree,1690
G,75_84,male,islander,HS Diploma,64
J,35_44,female,hispanic,Some College,17398
E,45_54,male,black,Bachelor Degree,69969
K,25_34,male,hispanic,Graduate Degree,19556
H,85_120,male,hispanic,Some College,508
D,18_24,female,islander,HS Diploma,198
B,75_84,female,white,Some College,236029
L,18_24,female,white,< Than HS Diploma,5845
I,35_44,female,hispanic,Some College,21580
E,18_24,female,hispanic,Graduate Degree,8054
G,18_24,male,white,HS Diploma,74521
B,75_84,female,hispanic,Some College,7682
C,35_44,male,hispanic,Some College,26772
B,45_54,female,asian,Graduate Degree,4099
F,65_74,female,hispanic,< Than HS Diploma,38397
F,55_64,female,asian,Graduate Degree,12899
A,75_84,female,black,Some College,29093
E,45_54,male,islander,< Than HS Diploma,40
B,25_34,male,islander,< Than HS Diploma,136
J,18_24,female,black,Some College,14104
E,55_64,male,islander,Bachelor Degree,161
E,85_120,male,white,Some College,122694
L,35_44,female,white,Graduate Degree,113098
D,75_84,male,white,Some College,317572
A,85_120,male,hispanic,< Than HS Diploma,30637
G,75_84,male,hispanic,Some College,2649
J,55_64,male,hispanic,Bachelor Degree,6653
C,45_54,female,hispanic,Graduate Degree,5740
B,75_84,female,islander,HS Diploma,213
A,45_54,male,islander,< Than HS Diploma,57
F,75_84,male,islander,Graduate Degree,31
J,45_54,female,islander,Graduate Degree,97
B,18_24,female,white,HS Diploma,160739
J,55_64,male,white,HS Diploma,87661
J,75_84,male,white,Some College,24242
L,25_34,male,asian,< Than HS Diploma,1725
B,75_84,female,white,HS Diploma,752957
E,45_54,male,hispanic,HS Diploma,142901
K,35_44,male,asian,HS Diploma,2411
D,75_84,male,asian,Graduate Degree,11176
B,25_34,female,hispanic,Bachelor Degree,13768
D,75_84,male,islander,< Than HS Diploma,79
F,45_54,male,islander,Graduate Degree,92
D,85_120,male,white,< Than HS Diploma,87008
G,45_54,female,black,< Than HS Diploma,5925
H,25_34,female,hispanic,Some College,49524
G,65_74,female,black,Graduate Degree,7627
I,75_84,female,asian,Graduate Degree,1916
G,85_120,female,black,Bachelor Degree,2182
A,55_64,female,islander,Bachelor Degree,70
F,65_74,male,black,Bachelor Degree,25058
E,45_54,male,hispanic,Some College,69912
L,65_74,female,asian,Some College,2290
A,45_54,female,black,Graduate Degree,19910
H,45_54,male,islander,HS Diploma,238
H,55_64,male,white,< Than HS Diploma,39435
A,25_34,female,white,Graduate Degree,161808
K,18_24,male,islander,Some College,132
J,55_64,female,asian,Some College,5997
D,45_54,male,asian,Bachelor Degree,14227
F,45_54,female,hispanic,Graduate Degree,22394
B,55_64,female,black,Graduate Degree,16546
K,75_84,female,white,HS Diploma,17134
K,55_64,male,asian,Some College,4893
B,25_34,female,islander,Bachelor Degree,227
F,18_24,female,islander,< Than HS Diploma,35
H,18_24,female,islander,Some College,403
